textDisplay,normalized,clean_comment,sentiment
"PAK JAKSA, PPATK,KPK,PENYIDIK POLRI, SIAPA SAJA AUIDT NIH ORANG.. ANGGARAN KITA DEFISIT TAPI NIH ORANG DENGAN GAMPANGNYA HAMBURIN UANG KITA . LU SEMUA HARUS SADAR GAJI KALIAN DARI APBN KALO DEFISIT KALIAN KERJA GAK BAKALAN DIGAJIH","pak jaksa, ppatk,kpk,penyidik polri, siapa saja auidt nih orang.. anggaran kita defisit tapi nih orang dengan gampangnya hamburin uang kita . lu semua harus sadar gaji kalian dari apbn kalo defisit kalian kerja gak bakalan digajih",pak jaksa ppatk kpk penyidik polri siapa saja auidt nih orang anggaran kita defisit tapi nih orang dengan gampangnya hamburin uang kita lu semua harus sadar gaji kalian dari apbn kalo defisit kalian kerja gak bakalan digajih,negative
Jauh lebih baik Program PENDIDIKAN Gratis sampai UNIVERSITAS dan KESEHATAN Gratis,jauh lebih baik program pendidikan gratis sampai universitas dan kesehatan gratis,jauh lebih baik program pendidikan gratis sampai universitas dan kesehatan gratis,positive
Kiamat baru pmimpin pejabat indon selese  dunia ini sudah panas  perbuatan kedoliman semangkin meningkat keserakaan meraja lelah di muka bumi kiamat kehancuran semangkin dekat mari kita kuatkan iman kita ke . Alloh bertobat.sebelum kiamat datang  harta bukan apa2hanya ke imanan ke . Alloh yg.berguna untuk kita semua,kiamat baru pmimpin pejabat indon selese  dunia ini sudah panas  perbuatan kedoliman semangkin meningkat keserakaan meraja lelah di muka bumi kiamat kehancuran semangkin dekat mari kita kuatkan iman kita ke . alloh bertobat.sebelum kiamat datang  harta bukan apa2hanya ke imanan ke . alloh yang.berguna untuk kita semua,kiamat baru pmimpin pejabat indon selese dunia ini sudah panas perbuatan kedoliman semangkin meningkat keserakaan meraja lelah di muka bumi kiamat kehancuran semangkin dekat mari kita kuatkan iman kita ke alloh bertobat sebelum kiamat datang harta bukan apahanya ke imanan ke alloh yang berguna untuk kita semua,negative
Rakyat susah dia malah foya²dari pajak rakyat.idiot habis,rakyat susah dia malah foya²dari pajak rakyat.idiot habis,rakyat susah dia malah foyadari pajak rakyat idiot habis,negative
Jalan nang kampungku rusak parah pak  mending buat perbaiki jalan 😢,jalan nang kampungku rusak parah pak  mending buat perbaiki jalan 😢,jalan nang kampungku rusak parah pak mending buat perbaiki jalan,negative
"Proyek ini suatu hari nanti  akan mencuat kembali , dan akan membawa banyak korban yg bakal nongkrong di bui. Kita lihat saja nsnti.","proyek ini suatu hari nanti  akan mencuat kembali , dan akan membawa banyak korban yang bakal nongkrong di bui. kita lihat saja nsnti.",proyek ini suatu hari nanti akan mencuat kembali dan akan membawa banyak korban yang bakal nongkrong di bui kita lihat saja nsnti,negative
Tunggu saja Negara Bangkrut.,tunggu saja negara bangkrut.,tunggu saja negara bangkrut,negative
"Baru motor netesen sudah lebay Gubenur saya di kaltim makek range rover 8,49 M biasa aja.","baru motor netesen sudah lebay gubenur saya di kaltim makek range rover 8,49 m biasa aja.",baru motor netesen sudah lebay gubenur saya di kaltim makek range rover m biasa aja,negative
Itulah kenapa di ciptakan surga dan neraka karena pengadilan dunia tdk pernah adil contoh kepala BGN ini sehingga purbaya pun tunduk..,itulah kenapa di ciptakan surga dan neraka karena pengadilan dunia tidak pernah adil contoh kepala bgn ini sehingga purbaya pun tunduk..,itulah kenapa di ciptakan surga dan neraka karena pengadilan dunia tidak pernah adil contoh kepala bgn ini sehingga purbaya pun tunduk,negative
Program yg menyerap dana APBN besar yg tanpa UU namanya merampok  atau perampokan,program yang menyerap dana apbn besar yang tanpa uu namanya merampok  atau perampokan,program yang menyerap dana apbn besar yang tanpa uu namanya merampok atau perampokan,negative
Lebih mengerikan dari BOM NUKLIR...,lebih mengerikan dari bom nuklir...,lebih mengerikan dari bom nuklir,negative
Emang masih ada aturan buat mereka mereka ini  ?,emang masih ada aturan buat mereka mereka ini  ?,emang masih ada aturan buat mereka mereka ini,negative
Modal utk 2029. Siapa yg ga suka Sm sy mari kita duel di 2029. Kata si Ono 🤣🤣🤣,modal utk 2029. siapa yang tidak suka sm sy mari kita duel di 2029. kata si ono 🤣🤣🤣,modal utk siapa yang tidak suka sm sy mari kita duel di kata si ono,negative
Kebijakan bar bar,kebijakan bar bar,kebijakan bar bar,neutral
"Sebenarnya si Dadan ini kurang ajar.<br>Dia berkali-kali nipu Prabowo.<br>Soal motong sapi 19 ribu sehari.<br>Soal ikan lele goreng.<br>Soal SPPG.<br>Sekarang soal motor.<br>Tapi entah kenapa, Prabowo seperti gak punya nyali dihadapan Dadan. Entah rahasia apa yang dipegang Dadan sampai Prabowo diam saja.","sebenarnya si dadan ini kurang ajar.<br>dia berkali-kali nipu prabowo.<br>soal motong sapi 19 ribu sehari.<br>soal ikan lele goreng.<br>soal sppg.<br>sekarang soal motor.<br>tapi entah kenapa, prabowo seperti gak punya nyali dihadapan dadan. entah rahasia apa yang dipegang dadan sampai prabowo diam saja.",sebenarnya si dadan ini kurang ajar dia berkali kali nipu prabowo soal motong sapi ribu sehari soal ikan lele goreng soal sppg sekarang soal motor tapi entah kenapa prabowo seperti gak punya nyali dihadapan dadan entah rahasia apa yang dipegang dadan sampai prabowo diam saja,negative
"2,4 triliyun masuk kantong pribadi Kepala BGN Dadan Hidayana","2,4 triliyun masuk kantong pribadi kepala bgn dadan hidayana",triliyun masuk kantong pribadi kepala bgn dadan hidayana,neutral
"emang kepala SPPG blusukan ke pelosok2 ? kenapa kepala SPPG dalam menjalankan tugasnya, harus BGN yang turun tangan dalam menyiapkan motornya? emang kepala SPPG nya gak mampu ? ntar tahun depan bakalan dapat mobil 4x4 lagi kepala SPPG nya.","emang kepala sppg blusukan ke pelosok2 ? kenapa kepala sppg dalam menjalankan tugasnya, harus bgn yang turun tangan dalam menyiapkan motornya? emang kepala sppg nya gak mampu ? ntar tahun depan bakalan dapat mobil 4x4 lagi kepala sppg nya.",emang kepala sppg blusukan ke pelosok kenapa kepala sppg dalam menjalankan tugasnya harus bgn yang turun tangan dalam menyiapkan motornya emang kepala sppg nya gak mampu ntar tahun depan bakalan dapat mobil x lagi kepala sppg nya,negative
"Mantap.......,,,, sekalian sama rumahnya juga.... Sediakan..... Korupsi yg g kepalang","mantap.......,,,, sekalian sama rumahnya juga.... sediakan..... korupsi yang g kepalang",mantap sekalian sama rumahnya juga sediakan korupsi yang g kepalang,negative
"Jangan pusing2, 2029, ganti president,,","jangan pusing2, 2029, ganti president,,",jangan pusing ganti president,negative
"Korupsi yg ssdah lama terencana,,","korupsi yang ssdah lama terencana,,",korupsi yang ssdah lama terencana,negative
Hayo kpk jaksa diperiksa itu yg menang tender n pejabat pembuat komitmen nya 😂,hayo kpk jaksa diperiksa itu yang menang tender n pejabat pembuat komitmen nya 😂,hayo kpk jaksa diperiksa itu yang menang tender n pejabat pembuat komitmen nya,neutral
"Marilah rakyat Indonesia.. wujudkan Indonesia yang Ochlocracy..<br>Jarah seluruh fasilitas dan dapur2 itu.. curi semua mobil dan motor MBG sekala massif.. polisi dan penegak hukum tidak akan punya tangan sebanyak itu untuk mengurus jika terjadi dalam sekala besar dan nasional..<br><br>Kehancuran harus diwujudkan oleh rakyat, percepat kehancuran Indonesia sebelum dihancurkan oleh pemerintah rezim ini","marilah rakyat indonesia.. wujudkan indonesia yang ochlocracy..<br>jarah seluruh fasilitas dan dapur2 itu.. curi semua mobil dan motor mbg sekala massif.. polisi dan penegak hukum tidak akan punya tangan sebanyak itu untuk mengurus jika terjadi dalam sekala besar dan nasional..<br><br>kehancuran harus diwujudkan oleh rakyat, percepat kehancuran indonesia sebelum dihancurkan oleh pemerintah rezim ini",marilah rakyat indonesia wujudkan indonesia yang ochlocracy jarah seluruh fasilitas dan dapur itu curi semua mobil dan motor mbg sekala massif polisi dan penegak hukum tidak akan punya tangan sebanyak itu untuk mengurus jika terjadi dalam sekala besar dan nasional kehancuran harus diwujudkan oleh rakyat percepat kehancuran indonesia sebelum dihancurkan oleh pemerintah rezim ini,negative
Efisiensi taek,efisiensi taek,efisiensi taek,negative
"nanti akan ada motor MBG di gunakan buat jalan-jalan keluarga,,,,<br>mau bagaimana lagi<br>memang beginilah negeri kita","nanti akan ada motor mbg di gunakan buat jalan-jalan keluarga,,,,<br>mau bagaimana lagi<br>memang beginilah negeri kita",nanti akan ada motor mbg di gunakan buat jalan jalan keluarga mau bagaimana lagimemang beginilah negeri kita,negative
Kroninya prabowo nggak ada yang beres kebanyakan alasan buat korupsi,kroninya prabowo tidak ada yang beres kebanyakan alasan buat korupsi,kroninya prabowo tidak ada yang beres kebanyakan alasan buat korupsi,negative
"Untuk operasional gmna kepala SPPG nya jg Deket dengan dapur SPPG, apa memang tujuannya untuk ngabisin duit rakyat","untuk operasional gmna kepala sppg nya jg deket dengan dapur sppg, apa memang tujuannya untuk ngabisin duit rakyat",untuk operasional gmna kepala sppg nya jg deket dengan dapur sppg apa memang tujuannya untuk ngabisin duit rakyat,neutral
APAKAH MALING BERKEDOK GIZI LAGI BERAKSI?,apakah maling berkedok gizi lagi beraksi?,apakah maling berkedok gizi lagi beraksi,negative
ya alloh orang yg yg menyusahkan rakyat .kasih azab .,ya alloh orang yang yang menyusahkan rakyat .kasih azab .,ya alloh orang yang yang menyusahkan rakyat kasih azab,negative
mbg makin brengsek .orang pd keracunan tdk dianggap .makin dikasih motor mangkin tambah keracunan .itu dah alloh yg kasih szab .,mbg makin brengsek .orang pd keracunan tidak dianggap .makin dikasih motor mangkin tambah keracunan .itu dah alloh yang kasih szab .,mbg makin brengsek orang pd keracunan tidak dianggap makin dikasih motor mangkin tambah keracunan itu dah alloh yang kasih szab,negative
Pemborosan  uang negara,pemborosan  uang negara,pemborosan uang negara,neutral
Yg salah itu yg dulu pilih oke² gas 😂,yang salah itu yang dulu pilih oke² gas 😂,yang salah itu yang dulu pilih oke gas,negative
"Kayaknya indonesia mau ditenggelamkan oleh pejabatnya sendiri,terserah kalianlah .....lakukan apa aja yg kalian mau","kayaknya indonesia mau ditenggelamkan oleh pejabatnya sendiri,terserah kalianlah .....lakukan apa aja yang kalian mau",kayaknya indonesia mau ditenggelamkan oleh pejabatnya sendiri terserah kalianlah lakukan apa aja yang kalian mau,negative
"Terus mbg tuh mending 1 minggu 2x / 3x jadi ga mubazirr, sayang bgt","terus mbg tuh mending 1 minggu 2x / 3x jadi tidak mubazirr, sayang banget",terus mbg tuh mending minggu x x jadi tidak mubazirr sayang banget,positive
"mbg dalam realisasinya tuh banyak yg ga kemakan, karena kalo tiap hari bosen, akhirnya mubazir jjur sayang banget nasi sama lauknya","mbg dalam realisasinya tuh banyak yang tidak kemakan, karena kalo tiap hari bosen, akhirnya mubazir jjur sayang banget nasi sama lauknya",mbg dalam realisasinya tuh banyak yang tidak kemakan karena kalo tiap hari bosen akhirnya mubazir jjur sayang banget nasi sama lauknya,positive
sdh sgt muuak dg  maling duit rkyt yg sepertinya g bisa kenyang maling trs2an,sdh sgt muuak dg  maling duit rkyt yang sepertinya g bisa kenyang maling trs2an,sdh sgt muuak dg maling duit rkyt yang sepertinya g bisa kenyang maling trsan,negative
"Ayo kpk diusut proyek MBG, berani gak?","ayo kpk diusut proyek mbg, berani gak?",ayo kpk diusut proyek mbg berani gak,negative
Mending dipakai buat guru guru yang mengajar di daerah terpencil!,mending dipakai buat guru guru yang mengajar di daerah terpencil!,mending dipakai buat guru guru yang mengajar di daerah terpencil,negative
"<b>HERAN BENER DAH SAMA KPK, KENAPA GK INISIATIF UNTUK MEMERIKSA KEPALA BGN?? INDIKASI K ARAH &quot;ITU&quot; SDH CUKUP MENONJOL LOHHH..</b>","<b>heran bener dah sama kpk, kenapa tidak inisiatif untuk memeriksa kepala bgn?? indikasi k arah &quot;itu&quot; sdh cukup menonjol lohhh..</b>",heran bener dah sama kpk kenapa tidak inisiatif untuk memeriksa kepala bgn indikasi k arah quot itu quot sdh cukup menonjol lohhh,negative
Angkat jempolnya spa yg setuju Prabowo Gibran mundur ☝️,angkat jempolnya spa yang setuju prabowo gibran mundur ☝️,angkat jempolnya spa yang setuju prabowo gibran mundur,positive
BGN itu aman soalnya di jadiin sarana utk persiapan 2029 hahahahaha,bgn itu aman soalnya di jadiin sarana utk persiapan 2029 hahahahaha,bgn itu aman soalnya di jadiin sarana utk persiapan hahahahaha,positive
REZIM SAMPAH =PS08FUFUFAFA JELAS DIATURAN PENGADAAN BARANG JASA JELAS TEGAS TERANG BENDERANG INI BUKAN BARANG YG TAK BISA DIPRODUKSI DLM NEGERI APALAGI INI BERJUMLAH RIBUAN INI SDH MELANGGAR UU APALAGI KOMPONEN DLM NEGERI 0 % KPK =KOMISI KORUPSI POLITIK KOK DIAM SERIBU 1001% HANYA KRN DIKTATOR TAKUT,rezim sampah =ps08fufufafa jelas diaturan pengadaan barang jasa jelas tegas terang benderang ini bukan barang yang tak bisa diproduksi dlm negeri apalagi ini berjumlah ribuan ini sdh melanggar uu apalagi komponen dlm negeri 0 % kpk =komisi korupsi politik kok diam seribu 1001% hanya krn diktator takut,rezim sampah psfufufafa jelas diaturan pengadaan barang jasa jelas tegas terang benderang ini bukan barang yang tak bisa diproduksi dlm negeri apalagi ini berjumlah ribuan ini sdh melanggar uu apalagi komponen dlm negeri kpk komisi korupsi politik kok diam seribu hanya krn diktator takut,negative
MBG : Motor Buat Gaya,mbg : motor buat gaya,mbg motor buat gaya,neutral
"Pola rampok, Beli produk tidak jelas, harga abu abu, Triliunan PL, dasar rampok.","pola rampok, beli produk tidak jelas, harga abu abu, triliunan pl, dasar rampok.",pola rampok beli produk tidak jelas harga abu abu triliunan pl dasar rampok,negative
"Pejabat di negara ini tdk perduli dgn kritikan, cuek, masa bodoh.<br>Negara ini merasa ekonomi nya masih tangguh, tapi rakyat kesulitan mencari kerja, pengangguran meningkat, buat makan aja susah.<br>Begitulah para koruptor dan mafia bekerja.","pejabat di negara ini tidak perduli dengan kritikan, cuek, masa bodoh.<br>negara ini merasa ekonomi nya masih tangguh, tapi rakyat kesulitan mencari kerja, pengangguran meningkat, buat makan aja susah.<br>begitulah para koruptor dan mafia bekerja.",pejabat di negara ini tidak perduli dengan kritikan cuek masa bodoh negara ini merasa ekonomi nya masih tangguh tapi rakyat kesulitan mencari kerja pengangguran meningkat buat makan aja susah begitulah para koruptor dan mafia bekerja,negative
Periksaaaaa,periksaaaaa,periksaaaaa,negative
Pakai anggaran 2025. Merencanakan pengadaan untuk di denda keterlambatan karena penyelesaiannya di 2026,pakai anggaran 2025. merencanakan pengadaan untuk di denda keterlambatan karena penyelesaiannya di 2026,pakai anggaran merencanakan pengadaan untuk di denda keterlambatan karena penyelesaiannya di,neutral
MBG proyek tak masuk akal dan sangat mudah di akal akali 😂😂😂,mbg proyek tak masuk akal dan sangat mudah di akal akali 😂😂😂,mbg proyek tak masuk akal dan sangat mudah di akal akali,negative
"Harga motor scoopy aja, yg spesifikasinya udah bagus banget harganya -+ sekitar 25jta. Ini belum jelas spesifikasinya, harganya 42jta. Seandainya 1jta aja perorang korupsi untuk perunitnya × 21rbu unit, udah dapet 21M itu perorang. Enak banget jadi pejabat","harga motor scoopy aja, yang spesifikasinya udah bagus banget harganya -+ sekitar 25jta. ini belum jelas spesifikasinya, harganya 42jta. seandainya 1jta aja perorang korupsi untuk perunitnya × 21rbu unit, udah dapet 21m itu perorang. enak banget jadi pejabat",harga motor scoopy aja yang spesifikasinya udah bagus banget harganya sekitar jta ini belum jelas spesifikasinya harganya jta seandainya jta aja perorang korupsi untuk perunitnya rbu unit udah dapet m itu perorang enak banget jadi pejabat,negative
ladang korupsi baru...,ladang korupsi baru...,ladang korupsi baru,negative
"Astaghfirullah.. demi Allah ini orang ga selesai2 yaaa ngehabisin uang negara, ga ada malu2nya jg..","astaghfirullah.. demi allah ini orang tidak selesai2 yaaa ngehabisin uang negara, tidak ada malu2nya jg..",astaghfirullah demi allah ini orang tidak selesai yaaa ngehabisin uang negara tidak ada malunya jg,negative
Lama2 rakyat muak atas kebijakan pemerintah,lama2 rakyat muak atas kebijakan pemerintah,lama rakyat muak atas kebijakan pemerintah,negative
Jelas2 cari fee <br>Korupsi terang2an kenapa DPR dan KPK diam saja,jelas2 cari fee <br>korupsi terang2an kenapa dpr dan kpk diam saja,jelas cari fee korupsi terangan kenapa dpr dan kpk diam saja,negative
Daripada pajak di gunakan sembarangan lebih baik kita bayar pajak ke desa masing2 supaya kita bisa membantu saudara2 kita yang miskin,daripada pajak di gunakan sembarangan lebih baik kita bayar pajak ke desa masing2 supaya kita bisa membantu saudara2 kita yang miskin,daripada pajak di gunakan sembarangan lebih baik kita bayar pajak ke desa masing supaya kita bisa membantu saudara kita yang miskin,negative
"Indonesia pemerintah nya sedang mumet..<br>Kendaraan dinas Pemkab/Pemkot pada di lelang untuk mengurangi anggaran BBM dan efisiensi untuk mengurangi biaya perawatan dll.sekarang malah pengadaan kendaraan baru buat MBG.. republik dengan pemimpin baik dan pikiran bijak,tapi di kelilingi pejabat gendeng ..","indonesia pemerintah nya sedang mumet..<br>kendaraan dinas pemkab/pemkot pada di lelang untuk mengurangi anggaran bbm dan efisiensi untuk mengurangi biaya perawatan dll.sekarang malah pengadaan kendaraan baru buat mbg.. republik dengan pemimpin baik dan pikiran bijak,tapi di kelilingi pejabat gendeng ..",indonesia pemerintah nya sedang mumet kendaraan dinas pemkab pemkot pada di lelang untuk mengurangi anggaran bbm dan efisiensi untuk mengurangi biaya perawatan dll sekarang malah pengadaan kendaraan baru buat mbg republik dengan pemimpin baik dan pikiran bijak tapi di kelilingi pejabat gendeng,negative
"Proyek MBG adalah bentuk, Korupsi yang disahkan Negara. coba di evaluasi. pajak rakyat dinaikkan, uang nya digunakan untuk bikin gemuk kepala Dapur.","proyek mbg adalah bentuk, korupsi yang disahkan negara. coba di evaluasi. pajak rakyat dinaikkan, uang nya digunakan untuk bikin gemuk kepala dapur.",proyek mbg adalah bentuk korupsi yang disahkan negara coba di evaluasi pajak rakyat dinaikkan uang nya digunakan untuk bikin gemuk kepala dapur,negative
Guru ASN paruh waktu Marwah kalian hina banget ...<br>Kalian di anggap di bawah mbg,guru asn paruh waktu marwah kalian hina banget ...<br>kalian di anggap di bawah mbg,guru asn paruh waktu marwah kalian hina banget kalian di anggap di bawah mbg,negative
Mana kejaksaan n KPK? Ini mah lebih besar duit operasionalnya drpd nilai mutu MBG yg diterima,mana kejaksaan n kpk? ini mah lebih besar duit operasionalnya drpd nilai mutu mbg yang diterima,mana kejaksaan n kpk ini mah lebih besar duit operasionalnya drpd nilai mutu mbg yang diterima,negative
kalo MBG mana berani lah,kalo mbg mana berani lah,kalo mbg mana berani lah,negative
Luar biasa.,luar biasa.,luar biasa,positive
"Aturannya tergantung saya,duit2 saya","aturannya tergantung saya,duit2 saya",aturannya tergantung saya duit saya,neutral
Silakan garong uang negara dengan segala cara mungpung masih hidup nanti kalau udah mati cuman keranda yg di naiki,silakan garong uang negara dengan segala cara mungpung masih hidup nanti kalau udah mati cuman keranda yang di naiki,silakan garong uang negara dengan segala cara mungpung masih hidup nanti kalau udah mati cuman keranda yang di naiki,negative
Mbg jadi ladang Korupsi berjamaah antek2 asing,mbg jadi ladang korupsi berjamaah antek2 asing,mbg jadi ladang korupsi berjamaah antek asing,negative
ada bedanya  sesuai aturan dengan memanfaatkan celah aturan,ada bedanya  sesuai aturan dengan memanfaatkan celah aturan,ada bedanya sesuai aturan dengan memanfaatkan celah aturan,negative
Nanggung knp hy motor??? <br>Mobil pajero skalian knapa??,nanggung knp hy motor??? <br>mobil pajero skalian knapa??,nanggung knp hy motor mobil pajero skalian knapa,negative
"Sstttt gak boleh usik proyek milik Prabowo, nanti di siram air keras sama orang gak dikenal lo😆😆","sstttt gak boleh usik proyek milik prabowo, nanti di siram air keras sama orang gak dikenal lo😆😆",sstttt gak boleh usik proyek milik prabowo nanti di siram air keras sama orang gak dikenal lo,negative
Titus2 botak 😂,titus2 botak 😂,titus botak,negative
"Kasian yang jadi guru pendidikan minima harusl S1 tapi jarang diperhatikan, tapi kalau anggota MPR, DPR, President dan wakil yang notabene nya di persyaratan pendaftaran pendidikan minimal SMK, SMA atau sederajat gajih dan tunjangannya fantastis bisa berpuluh puluh kali lipat dari gaji guru. Miris....","kasian yang jadi guru pendidikan minima harusl s1 tapi jarang diperhatikan, tapi kalau anggota mpr, dpr, president dan wakil yang notabene nya di persyaratan pendaftaran pendidikan minimal smk, sma atau sederajat gajih dan tunjangannya fantastis bisa berpuluh puluh kali lipat dari gaji guru. miris....",kasian yang jadi guru pendidikan minima harusl s tapi jarang diperhatikan tapi kalau anggota mpr dpr president dan wakil yang notabene nya di persyaratan pendaftaran pendidikan minimal smk sma atau sederajat gajih dan tunjangannya fantastis bisa berpuluh puluh kali lipat dari gaji guru miris,negative
Gw susah payah patungan duit buat nyejahterain negara eh taunya mlh duitnya buat yg enga2 🤦🏽‍♂️,gw susah payah patungan duit buat nyejahterain negara eh taunya mlh duitnya buat yang enga2 🤦🏽‍♂️,gw susah payah patungan duit buat nyejahterain negara eh taunya mlh duitnya buat yang enga,negative
"Pelayanan kepada masyarakat dikurangi dengan diadakannya WFH, alasannya untuk menghemat BBM, tp disisi lain ada pemborosan seperti ini 😔😔","pelayanan kepada masyarakat dikurangi dengan diadakannya wfh, alasannya untuk menghemat bbm, tp disisi lain ada pemborosan seperti ini 😔😔",pelayanan kepada masyarakat dikurangi dengan diadakannya wfh alasannya untuk menghemat bbm tp disisi lain ada pemborosan seperti ini,negative
"Buat kpk kalo kalian dilemahkan di rezim ini,kalian kantongin nama  ni ketua bgn,periksa di rezim berikutnya 😂(mudah-mudahan bukan si biji satu lagi yg kepilih).","buat kpk kalo kalian dilemahkan di rezim ini,kalian kantongin nama  ni ketua bgn,periksa di rezim berikutnya 😂(mudah-mudahan bukan si biji satu lagi yang kepilih).",buat kpk kalo kalian dilemahkan di rezim ini kalian kantongin nama ni ketua bgn periksa di rezim berikutnya mudah mudahan bukan si biji satu lagi yang kepilih,negative
"Merdeka 80 tahun cuma jadi surga koruptor, surga premanisme, surga ormas, surga kaki lima pemakan jalan-trotoar dan surga motor lawan arah","merdeka 80 tahun cuma jadi surga koruptor, surga premanisme, surga ormas, surga kaki lima pemakan jalan-trotoar dan surga motor lawan arah",merdeka tahun cuma jadi surga koruptor surga premanisme surga ormas surga kaki lima pemakan jalan trotoar dan surga motor lawan arah,negative
DPR mana SUARAMU ? gak malu dgn GAJIMU dan Fasilitas yg kamu dapatkan,dpr mana suaramu ? gak malu dengan gajimu dan fasilitas yang kamu dapatkan,dpr mana suaramu gak malu dengan gajimu dan fasilitas yang kamu dapatkan,negative
RAKYAT MASIH SABAR ya tak!! Tapi KESABARAN ADA BATASNYA!!,rakyat masih sabar ya tak!! tapi kesabaran ada batasnya!!,rakyat masih sabar ya tak tapi kesabaran ada batasnya,negative
Berani ndak KPK memeriksa kepala BGN....,berani ndak kpk memeriksa kepala bgn....,berani ndak kpk memeriksa kepala bgn,neutral
"BGN diatas menkeu, sistem negara kocak, harusnya bpk-bpkp audit selain itu aph harusnya bekerja","bgn diatas menkeu, sistem negara kocak, harusnya bpk-bpkp audit selain itu aph harusnya bekerja",bgn diatas menkeu sistem negara kocak harusnya bpk bpkp audit selain itu aph harusnya bekerja,neutral
PROYEK LANCAR JAYA🤣🤣🤣😝,proyek lancar jaya🤣🤣🤣😝,proyek lancar jaya,positive
Mana nich suara CEO MBG...,mana nich suara ceo mbg...,mana nich suara ceo mbg,negative
"Gas terus, walau defisit","gas terus, walau defisit",gas terus walau defisit,neutral
Motor listrik siap  jemput produk gagal dari dapur MBG  untuk angkut Magot Belatung  Group (MBG).🤑🤑🤑🐛🐛🐛<br> demi rp..  sekalian budidaya magot belatung group.,motor listrik siap  jemput produk gagal dari dapur mbg  untuk angkut magot belatung  group (mbg).🤑🤑🤑🐛🐛🐛<br> demi rp..  sekalian budidaya magot belatung group.,motor listrik siap jemput produk gagal dari dapur mbg untuk angkut magot belatung group mbg demi rp sekalian budidaya magot belatung group,neutral
Korupsi masif di MBG dan KDMP Prabowo DIAM. Teriak lantang akan kejar koruptor sampai antartika.<br>Nyatanya koruptor2 nya ngumpet dibawah ketiak dia.<br>Boleh korupsi asal kroni2 nya.<br>Real OMON OMON.,korupsi masif di mbg dan kdmp prabowo diam. teriak lantang akan kejar koruptor sampai antartika.<br>nyatanya koruptor2 nya ngumpet dibawah ketiak dia.<br>boleh korupsi asal kroni2 nya.<br>real omon omon.,korupsi masif di mbg dan kdmp prabowo diam teriak lantang akan kejar koruptor sampai antartika nyatanya koruptor nya ngumpet dibawah ketiak dia boleh korupsi asal kroni nya real omon omon,negative
"Jika benar benar ingin efektif dan minim kecurangan, produksi MBG serahkan ke masing2 Kantin Sekolah tanpa intervensi guru...<br>Menurut pengakuan pengusaha MBG Keuntungan bersih  perhari 6 juta,dan saat mendaftar pengusaha SPPG rela menyogok pihak terkait senilai ratusan juta utk mendapatkan SK usaha.","jika benar benar ingin efektif dan minim kecurangan, produksi mbg serahkan ke masing2 kantin sekolah tanpa intervensi guru...<br>menurut pengakuan pengusaha mbg keuntungan bersih  perhari 6 juta,dan saat mendaftar pengusaha sppg rela menyogok pihak terkait senilai ratusan juta utk mendapatkan sk usaha.",jika benar benar ingin efektif dan minim kecurangan produksi mbg serahkan ke masing kantin sekolah tanpa intervensi guru menurut pengakuan pengusaha mbg keuntungan bersih perhari juta dan saat mendaftar pengusaha sppg rela menyogok pihak terkait senilai ratusan juta utk mendapatkan sk usaha,negative
"di satu sisi omon2 pidato menyelamatkan uang negara,satu sisi lain ank buah nya menghbiskan uang negara...negara kayak sinetron","di satu sisi omon2 pidato menyelamatkan uang negara,satu sisi lain ank buah nya menghbiskan uang negara...negara kayak sinetron",di satu sisi omon pidato menyelamatkan uang negara satu sisi lain ank buah nya menghbiskan uang negara negara kayak sinetron,negative
proyek ambisi korupsi massal ala wowo...di otaknya beri makan gratis anak di kira sukses pdhal rakyat gk butuh,proyek ambisi korupsi massal ala wowo...di otaknya beri makan gratis anak di kira sukses pdhal rakyat tidak butuh,proyek ambisi korupsi massal ala wowo di otaknya beri makan gratis anak di kira sukses pdhal rakyat tidak butuh,negative
kapan di demo serentak,kapan di demo serentak,kapan di demo serentak,neutral
"Program kebal hukum, smua diterobos","program kebal hukum, smua diterobos",program kebal hukum smua diterobos,negative
"Usulan aja nih,,bagi pemilik SPPG MBG sebelum komen di medsos mending training dulu ke BAIS,,,biar komen nya lebih berbobot🤭","usulan aja nih,,bagi pemilik sppg mbg sebelum komen di medsos mending training dulu ke bais,,,biar komen nya lebih berbobot🤭",usulan aja nih bagi pemilik sppg mbg sebelum komen di medsos mending training dulu ke bais biar komen nya lebih berbobot,neutral
Sengaja beli merk ga jls biar bs korupsi sepuas2nyaaa,sengaja beli merk tidak jls biar bs korupsi sepuas2nyaaa,sengaja beli merk tidak jls biar bs korupsi sepuasnyaaa,negative
Proyek Ga mutu .. dari sekian besar anggaran coba JUJUR di cek <br>berapa yang benar2 berupa bentuk Makanan Bergizi untuk anak2 <br><br>apalagi dengan Kaos Kaki,proyek tidak mutu .. dari sekian besar anggaran coba jujur di cek <br>berapa yang benar2 berupa bentuk makanan bergizi untuk anak2 <br><br>apalagi dengan kaos kaki,proyek tidak mutu dari sekian besar anggaran coba jujur di cek berapa yang benar berupa bentuk makanan bergizi untuk anak apalagi dengan kaos kaki,negative
mdhn2 bntar lagi d adain 100rb rumah dinas MBG 😂😂,mdhn2 bntar lagi d adain 100rb rumah dinas mbg 😂😂,mdhn bntar lagi d adain rb rumah dinas mbg,neutral
